Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1712309333577,05/04/2024 09:28:53,1712312933577,1,05/04/2024 11:28:53,139619,19,task-ckcf,,36765335,BLIND,10840093,,complete,,660fc335946e8466dda6f895,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,Quick End Screen,2,,,2-3,,,,fail,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1712309339253,05/04/2024 09:28:59,1712312939253,1,05/04/2024 11:28:59,139619,19,task-ckcf,,36765335,BLIND,10840093,,complete,,660fc335946e8466dda6f895,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,Quick End Screen,2,,,2-3,,,,fail,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,5694.2,5681.4,5694.2,5694.2,5681.4,5694.2,0,5694.2,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1712309339254,05/04/2024 09:28:59,1712312939254,1,05/04/2024 11:28:59,139619,19,task-ckcf,,36765335,BLIND,10840093,,complete,,660fc335946e8466dda6f895,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,Quick End Screen,2,,,2-3,,,,fail,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,5114.9,5681.4,5694.800000023842,5114.9,5681.4,5694.800000023842,1,5114.9,579.900000023842,0,,Dropdown,Dropdown,4,object-10,End,
4,1712309345441,05/04/2024 09:29:05,1712312945441,1,05/04/2024 11:29:05,139619,19,task-ckcf,,36765335,BLIND,10840093,,complete,,660fc335946e8466dda6f895,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,Quick End Screen,2,,,2-3,,,,fail,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,6200.3,6197.599999999999,6200.3,6200.3,6197.599999999999,6200.3,0,6200.3,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1712309345442,05/04/2024 09:29:05,1712312945442,1,05/04/2024 11:29:05,139619,19,task-ckcf,,36765335,BLIND,10840093,,complete,,660fc335946e8466dda6f895,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,Quick End Screen,2,,,2-3,,,,fail,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,5631.3,6197.599999999999,6201.500000017882,5631.3,6197.599999999999,6201.500000017882,1,5631.3,570.2000000178814,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1712309346897,05/04/2024 09:29:06,1712312946897,1,05/04/2024 11:29:06,139619,19,task-ckcf,,36765335,BLIND,10840093,,complete,,660fc335946e8466dda6f895,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,Quick End Screen,2,,,2-3,,,,fail,Spreadsheet1,1,End,Screen 1,otfijt,3,continue,,1459.2000000000007,1449.800000000001,1459.2000000000007,1459.2000000000007,1449.800000000001,1459.2000000000007,1,1459.2000000000007,0,0,,Click To Continue,Continue Button,2,object-4,End,
7,1712309346898,05/04/2024 09:29:06,1712312946898,1,05/04/2024 11:29:06,139619,19,task-ckcf,,36765335,BLIND,10840093,,complete,,660fc335946e8466dda6f895,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,Quick End Screen,2,,,2-3,,,,fail,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1712309856926,05/04/2024 09:37:36,1712313456926,1,05/04/2024 11:37:36,139619,19,task-ckcf,,36765582,BLIND,10840123,,complete,,660fc47a0dc9b4c32e4ba584,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,1440x900,1440x679,,,0,Quick End Screen,2,fail,,1e-1i,,,,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1712309865176,05/04/2024 09:37:45,1712313465176,1,05/04/2024 11:37:45,139619,19,task-ckcf,,36765582,BLIND,10840123,,complete,,660fc47a0dc9b4c32e4ba584,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,1440x900,1440x679,,,0,Quick End Screen,2,fail,,1e-1i,,,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,8264.248000011921,8250.248,8264.248000011921,8264.248000011921,8250.248,8264.248000011921,0,8264.248000011921,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1712309865177,05/04/2024 09:37:45,1712313465177,1,05/04/2024 11:37:45,139619,19,task-ckcf,,36765582,BLIND,10840123,,complete,,660fc47a0dc9b4c32e4ba584,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,1440x900,1440x679,,,0,Quick End Screen,2,fail,,1e-1i,,,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,7849.348,8250.248,8264.84800000596,7849.348,8250.248,8264.84800000596,1,7849.348,415.5000000059608,0,,Dropdown,Dropdown,4,object-10,End,
4,1712309887727,05/04/2024 09:38:07,1712313487727,1,05/04/2024 11:38:07,139619,19,task-ckcf,,36765582,BLIND,10840123,,complete,,660fc47a0dc9b4c32e4ba584,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,1440x900,1440x679,,,0,Quick End Screen,2,fail,,1e-1i,,,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,22565.79999999404,22550.9,22565.79999999404,22565.79999999404,22550.9,22565.79999999404,0,22565.79999999404,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1712309887730,05/04/2024 09:38:07,1712313487730,1,05/04/2024 11:38:07,139619,19,task-ckcf,,36765582,BLIND,10840123,,complete,,660fc47a0dc9b4c32e4ba584,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,1440x900,1440x679,,,0,Quick End Screen,2,fail,,1e-1i,,,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,22100.600000000002,22550.9,22568.100000000002,22100.600000000002,22550.9,22568.100000000002,1,22100.600000000002,467.5,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1712309889199,05/04/2024 09:38:09,1712313489199,1,05/04/2024 11:38:09,139619,19,task-ckcf,,36765582,BLIND,10840123,,complete,,660fc47a0dc9b4c32e4ba584,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,1440x900,1440x679,,,0,Quick End Screen,2,fail,,1e-1i,,,,,Spreadsheet1,1,End,Screen 1,otfijt,3,continue,,1486.7999999999993,1482.6000000000022,1486.7999999999993,1486.7999999999993,1482.6000000000022,1486.7999999999993,1,1486.7999999999993,0,0,,Click To Continue,Continue Button,2,object-4,End,
7,1712309889200,05/04/2024 09:38:09,1712313489200,1,05/04/2024 11:38:09,139619,19,task-ckcf,,36765582,BLIND,10840123,,complete,,660fc47a0dc9b4c32e4ba584,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,1440x900,1440x679,,,0,Quick End Screen,2,fail,,1e-1i,,,,,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1712310098255,05/04/2024 09:41:38,1712313698255,1,05/04/2024 11:41:38,139619,19,task-ckcf,,36765680,BLIND,10840144,,complete,,660fc5764f60fe48321bd31f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,1440x900,1440x779,,,0,Quick End Screen,2,,,1i-2,,fail,,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1712310104120,05/04/2024 09:41:44,1712313704120,1,05/04/2024 11:41:44,139619,19,task-ckcf,,36765680,BLIND,10840144,,complete,,660fc5764f60fe48321bd31f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,1440x900,1440x779,,,0,Quick End Screen,2,,,1i-2,,fail,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,5876.526000000745,5861.025999999999,5876.526000000745,5876.526000000745,5861.025999999999,5876.526000000745,0,5876.526000000745,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1712310104121,05/04/2024 09:41:44,1712313704121,1,05/04/2024 11:41:44,139619,19,task-ckcf,,36765680,BLIND,10840144,,complete,,660fc5764f60fe48321bd31f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,1440x900,1440x779,,,0,Quick End Screen,2,,,1i-2,,fail,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,5029.025999999999,5861.025999999999,5877.425999999999,5029.025999999999,5861.025999999999,5877.425999999999,1,5029.025999999999,848.3999999999996,0,,Dropdown,Dropdown,4,object-10,End,
4,1712310120426,05/04/2024 09:42:00,1712313720426,1,05/04/2024 11:42:00,139619,19,task-ckcf,,36765680,BLIND,10840144,,complete,,660fc5764f60fe48321bd31f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,1440x900,1440x779,,,0,Quick End Screen,2,,,1i-2,,fail,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,16322.30000000149,16306.2,16322.30000000149,16322.30000000149,16306.2,16322.30000000149,0,16322.30000000149,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1712310120435,05/04/2024 09:42:00,1712313720435,1,05/04/2024 11:42:00,139619,19,task-ckcf,,36765680,BLIND,10840144,,complete,,660fc5764f60fe48321bd31f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,1440x900,1440x779,,,0,Quick End Screen,2,,,1i-2,,fail,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,14706.900000000001,16306.2,16323.5,14706.900000000001,16306.2,16323.5,1,14706.900000000001,1616.5999999999985,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1712310122211,05/04/2024 09:42:02,1712313722211,1,05/04/2024 11:42:02,139619,19,task-ckcf,,36765680,BLIND,10840144,,complete,,660fc5764f60fe48321bd31f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,1440x900,1440x779,,,0,Quick End Screen,2,,,1i-2,,fail,,,Spreadsheet1,1,End,Screen 1,otfijt,3,continue,,1797.199999999997,1781.5999999999985,1797.199999999997,1797.199999999997,1781.5999999999985,1797.199999999997,1,1797.199999999997,0,0,,Click To Continue,Continue Button,2,object-4,End,
7,1712310122213,05/04/2024 09:42:02,1712313722213,1,05/04/2024 11:42:02,139619,19,task-ckcf,,36765680,BLIND,10840144,,complete,,660fc5764f60fe48321bd31f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,1440x900,1440x779,,,0,Quick End Screen,2,,,1i-2,,fail,,,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1712310342328,05/04/2024 09:45:42,1712313942328,1,05/04/2024 11:45:42,139619,19,task-ckcf,,36765776,BLIND,10840172,,complete,,660fc66c6a68352d545905d7,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,2560x1440,2560x1214,,,0,Quick End Screen,2,,,2-3,,,,fail,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1712310350154,05/04/2024 09:45:50,1712313950154,1,05/04/2024 11:45:50,139619,19,task-ckcf,,36765776,BLIND,10840172,,complete,,660fc66c6a68352d545905d7,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,2560x1440,2560x1214,,,0,Quick End Screen,2,,,2-3,,,,fail,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,7833.199999982118,7823,7833.199999982118,7833.199999982118,7823,7833.199999982118,0,7833.199999982118,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1712310350155,05/04/2024 09:45:50,1712313950155,1,05/04/2024 11:45:50,139619,19,task-ckcf,,36765776,BLIND,10840172,,complete,,660fc66c6a68352d545905d7,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,2560x1440,2560x1214,,,0,Quick End Screen,2,,,2-3,,,,fail,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,7022.4,7823,7833.9,7022.4,7823,7833.9,1,7022.4,811.5,0,,Dropdown,Dropdown,4,object-10,End,
4,1712310369453,05/04/2024 09:46:09,1712313969453,1,05/04/2024 11:46:09,139619,19,task-ckcf,,36765776,BLIND,10840172,,complete,,660fc66c6a68352d545905d7,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,2560x1440,2560x1214,,,0,Quick End Screen,2,,,2-3,,,,fail,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,19308.49999999404,19299.300000000003,19308.49999999404,19308.49999999404,19299.300000000003,19308.49999999404,0,19308.49999999404,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1712310369454,05/04/2024 09:46:09,1712313969454,1,05/04/2024 11:46:09,139619,19,task-ckcf,,36765776,BLIND,10840172,,complete,,660fc66c6a68352d545905d7,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,2560x1440,2560x1214,,,0,Quick End Screen,2,,,2-3,,,,fail,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,12343.699999999999,19299.300000000003,19310.09999998808,12343.699999999999,19299.300000000003,19310.09999998808,1,12343.699999999999,6966.399999988082,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1712310370760,05/04/2024 09:46:10,1712313970760,1,05/04/2024 11:46:10,139619,19,task-ckcf,,36765776,BLIND,10840172,,complete,,660fc66c6a68352d545905d7,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,2560x1440,2560x1214,,,0,Quick End Screen,2,,,2-3,,,,fail,Spreadsheet1,1,End,Screen 1,otfijt,3,continue,,1317.0999999999985,1301.0999999999985,1317.0999999999985,1317.0999999999985,1301.0999999999985,1317.0999999999985,1,1317.0999999999985,0,0,,Click To Continue,Continue Button,2,object-4,End,
7,1712310370761,05/04/2024 09:46:10,1712313970761,1,05/04/2024 11:46:10,139619,19,task-ckcf,,36765776,BLIND,10840172,,complete,,660fc66c6a68352d545905d7,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,2560x1440,2560x1214,,,0,Quick End Screen,2,,,2-3,,,,fail,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1712310520223,05/04/2024 09:48:40,1712314120223,1,05/04/2024 11:48:40,139619,19,task-ckcf,,36765859,BLIND,10840190,,complete,,660fc6ffdb00ad7c3ff3e07f,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1920x1080,1920x919,,,0,Quick End Screen,2,,,1i-2,,fail,,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1712310526314,05/04/2024 09:48:46,1712314126314,1,05/04/2024 11:48:46,139619,19,task-ckcf,,36765859,BLIND,10840190,,complete,,660fc6ffdb00ad7c3ff3e07f,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1920x1080,1920x919,,,0,Quick End Screen,2,,,1i-2,,fail,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,6120.391999809265,6106.092,6120.391999809265,6120.391999809265,6106.092,6120.391999809265,0,6120.391999809265,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1712310526314,05/04/2024 09:48:46,1712314126314,1,05/04/2024 11:48:46,139619,19,task-ckcf,,36765859,BLIND,10840190,,complete,,660fc6ffdb00ad7c3ff3e07f,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1920x1080,1920x919,,,0,Quick End Screen,2,,,1i-2,,fail,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,5188.392,6106.092,6121.192,5188.392,6106.092,6121.192,1,5188.392,932.8000000000002,0,,Dropdown,Dropdown,4,object-10,End,
4,1712310534021,05/04/2024 09:48:54,1712314134021,1,05/04/2024 11:48:54,139619,19,task-ckcf,,36765859,BLIND,10840190,,complete,,660fc6ffdb00ad7c3ff3e07f,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1920x1080,1920x919,,,0,Quick End Screen,2,,,1i-2,,fail,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,7719.7999998092655,7707.6,7719.7999998092655,7719.7999998092655,7707.6,7719.7999998092655,0,7719.7999998092655,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1712310534024,05/04/2024 09:48:54,1712314134024,1,05/04/2024 11:48:54,139619,19,task-ckcf,,36765859,BLIND,10840190,,complete,,660fc6ffdb00ad7c3ff3e07f,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1920x1080,1920x919,,,0,Quick End Screen,2,,,1i-2,,fail,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,6990.200000000001,7707.6,7723.2999998092655,6990.200000000001,7707.6,7723.2999998092655,1,6990.200000000001,733.0999998092648,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1712310535714,05/04/2024 09:48:55,1712314135714,1,05/04/2024 11:48:55,139619,19,task-ckcf,,36765859,BLIND,10840190,,complete,,660fc6ffdb00ad7c3ff3e07f,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1920x1080,1920x919,,,0,Quick End Screen,2,,,1i-2,,fail,,,Spreadsheet1,1,End,Screen 1,otfijt,3,continue,,1705.5,1701.7999999999993,1705.5,1705.5,1701.7999999999993,1705.5,1,1705.5,0,0,,Click To Continue,Continue Button,2,object-4,End,
7,1712310535714,05/04/2024 09:48:55,1712314135714,1,05/04/2024 11:48:55,139619,19,task-ckcf,,36765859,BLIND,10840190,,complete,,660fc6ffdb00ad7c3ff3e07f,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1920x1080,1920x919,,,0,Quick End Screen,2,,,1i-2,,fail,,,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1712310586099,05/04/2024 09:49:46,1712314186099,1,05/04/2024 11:49:46,139619,19,task-ckcf,,36765882,BLIND,10840210,,complete,,660fc782d85d806d7fe53872,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x911,,,0,Quick End Screen,2,,fail,1e-2,,,,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1712310591345,05/04/2024 09:49:51,1712314191345,1,05/04/2024 11:49:51,139619,19,task-ckcf,,36765882,BLIND,10840210,,complete,,660fc782d85d806d7fe53872,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x911,,,0,Quick End Screen,2,,fail,1e-2,,,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,5257.01000000596,5244.21,5257.01000000596,5257.01000000596,5244.21,5257.01000000596,0,5257.01000000596,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1712310591345,05/04/2024 09:49:51,1712314191345,1,05/04/2024 11:49:51,139619,19,task-ckcf,,36765882,BLIND,10840210,,complete,,660fc782d85d806d7fe53872,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x911,,,0,Quick End Screen,2,,fail,1e-2,,,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,4178.8099999999995,5244.21,5257.809999988079,4178.8099999999995,5244.21,5257.809999988079,1,4178.8099999999995,1078.9999999880793,0,,Dropdown,Dropdown,4,object-10,End,
4,1712310600174,05/04/2024 09:50:00,1712314200174,1,05/04/2024 11:50:00,139619,19,task-ckcf,,36765882,BLIND,10840210,,complete,,660fc782d85d806d7fe53872,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x911,,,0,Quick End Screen,2,,fail,1e-2,,,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,8842.1,8825.4,8842.1,8842.1,8825.4,8842.1,0,8842.1,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1712310600176,05/04/2024 09:50:00,1712314200176,1,05/04/2024 11:50:00,139619,19,task-ckcf,,36765882,BLIND,10840210,,complete,,660fc782d85d806d7fe53872,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x911,,,0,Quick End Screen,2,,fail,1e-2,,,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,8076.1,8825.4,8842.1,8076.1,8825.4,8842.1,1,8076.1,766,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1712310601981,05/04/2024 09:50:01,1712314201981,1,05/04/2024 11:50:01,139619,19,task-ckcf,,36765882,BLIND,10840210,,complete,,660fc782d85d806d7fe53872,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x911,,,0,Quick End Screen,2,,fail,1e-2,,,,,Spreadsheet1,1,End,Screen 1,otfijt,3,continue,,1823.9000000059605,1814.9000000000015,1823.9000000059605,1823.9000000059605,1814.9000000000015,1823.9000000059605,1,1823.9000000059605,0,0,,Click To Continue,Continue Button,2,object-4,End,
7,1712310601982,05/04/2024 09:50:01,1712314201982,1,05/04/2024 11:50:01,139619,19,task-ckcf,,36765882,BLIND,10840210,,complete,,660fc782d85d806d7fe53872,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x911,,,0,Quick End Screen,2,,fail,1e-2,,,,,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1712310705672,05/04/2024 09:51:45,1712314305672,1,05/04/2024 11:51:45,139619,19,task-ckcf,,36765931,BLIND,10840222,,complete,,660fc8099294f27c2d97f2b1,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Quick End Screen,2,,,1i-3,,,fail,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1712310712775,05/04/2024 09:51:52,1712314312775,1,05/04/2024 11:51:52,139619,19,task-ckcf,,36765931,BLIND,10840222,,complete,,660fc8099294f27c2d97f2b1,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Quick End Screen,2,,,1i-3,,,fail,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,7111.354000047684,7106.154,7111.354000047684,7111.354000047684,7106.154,7111.354000047684,0,7111.354000047684,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1712310712776,05/04/2024 09:51:52,1712314312776,1,05/04/2024 11:51:52,139619,19,task-ckcf,,36765931,BLIND,10840222,,complete,,660fc8099294f27c2d97f2b1,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Quick End Screen,2,,,1i-3,,,fail,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,6091.054,7106.154,7112.254000023842,6091.054,7106.154,7112.254000023842,1,6091.054,1021.2000000238422,0,,Dropdown,Dropdown,4,object-10,End,
4,1712310724578,05/04/2024 09:52:04,1712314324578,1,05/04/2024 11:52:04,139619,19,task-ckcf,,36765931,BLIND,10840222,,complete,,660fc8099294f27c2d97f2b1,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Quick End Screen,2,,,1i-3,,,fail,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,11808.100000023842,11801.599999999999,11808.100000023842,11808.100000023842,11801.599999999999,11808.100000023842,0,11808.100000023842,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1712310724580,05/04/2024 09:52:04,1712314324580,1,05/04/2024 11:52:04,139619,19,task-ckcf,,36765931,BLIND,10840222,,complete,,660fc8099294f27c2d97f2b1,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Quick End Screen,2,,,1i-3,,,fail,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand and One,11055.8,11801.599999999999,11810.200000047684,11055.8,11801.599999999999,11810.200000047684,0,11055.8,754.4000000476844,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1712310728063,05/04/2024 09:52:08,1712314328063,1,05/04/2024 11:52:08,139619,19,task-ckcf,,36765931,BLIND,10840222,,complete,,660fc8099294f27c2d97f2b1,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Quick End Screen,2,,,1i-3,,,fail,,Spreadsheet1,1,End,Screen 1,otfijt,3,continue,,3491.7999999761596,3476.9000000000015,3491.7999999761596,3491.7999999761596,3476.9000000000015,3491.7999999761596,1,3491.7999999761596,0,0,,Click To Continue,Continue Button,2,object-4,End,
7,1712310728066,05/04/2024 09:52:08,1712314328066,1,05/04/2024 11:52:08,139619,19,task-ckcf,,36765931,BLIND,10840222,,complete,,660fc8099294f27c2d97f2b1,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Quick End Screen,2,,,1i-3,,,fail,,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1712310937110,05/04/2024 09:55:37,1712314537110,1,05/04/2024 11:55:37,139619,19,task-ckcf,,36766080,BLIND,10840254,,complete,,660fc8bdf56f11ff124a36b1,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x737,,,0,Quick End Screen,2,fail,,1e-1i,,,,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1712310941728,05/04/2024 09:55:41,1712314541728,1,05/04/2024 11:55:41,139619,19,task-ckcf,,36766080,BLIND,10840254,,complete,,660fc8bdf56f11ff124a36b1,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x737,,,0,Quick End Screen,2,fail,,1e-1i,,,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,4638.8699999970195,4633.982,4638.8699999970195,4638.8699999970195,4633.982,4638.8699999970195,0,4638.8699999970195,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1712310941729,05/04/2024 09:55:41,1712314541729,1,05/04/2024 11:55:41,139619,19,task-ckcf,,36766080,BLIND,10840254,,complete,,660fc8bdf56f11ff124a36b1,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x737,,,0,Quick End Screen,2,fail,,1e-1i,,,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,4233.9259999999995,4633.982,4639.8699999970195,4233.9259999999995,4633.982,4639.8699999970195,1,4233.9259999999995,405.94399999702,0,,Dropdown,Dropdown,4,object-10,End,
